lemm1,lemm2,lemm3,lemm4,lemm5
фрагмент,русский,языковой,картина,мир
грамматика,современный,русский,литературный,язык
коннотативный,аспект,семантика,номинативный,единица
лексический,атлас,русский,народный,говор
национальный,культурный,специфика,речевой,поведение
сравнительно,исторический,грамматика,тюркский,язык
основной,тип,лексический,значение,слово
теоретический,грамматика,современный,английский,язык
развитие,лексика,современный,русский,язык
словарный,состав,русский,литературный,язык
закономерность,стилистический,использование,языковый,единица
стиль,современный,русский,литературный,язык
национальный,социокультурный,стереотип,речевой,общение
словарный,состав,современный,английский,язык
фразеологический,единица,современный,русский,язык
грамматика,современный,турецкий,литературный,язык
грамматика,современный,узбекский,литературный,язык
лексика,современный,русский,литературный,язык
функциональный,стиль,современный,русский,язык
семантика,языковой,единица,разный,уровень
лингвистический,основа,балканский,модель,мир
функциональный,синтаксис,современный,английский,язык
синтаксис,современный,русский,литературный,язык
норма,современный,русский,литературный,язык
синонимика,современный,русский,литературный,язык
ассоциативный,тезаурус,современный,русский,язык
единица,словообразовательный,система,русский,язык
морфологический,категория,современный,русский,язык
грамматика,современный,башкирский,литературный,язык
исторический,развитие,лексика,тюркский,язык
национальный,культурный,специфика,речевой,общение
развитие,фонетика,современный,русский,язык
история,лексика,русский,литературный,язык
механизм,экспрессивный,окраска,языковой,единица
лексический,система,современный,русский,язык
грамматический,строй,современный,русский,язык
конструкция,современный,русский,литературный,язык
исторический,грамматика,русский,литературный,язык
новый,лексика,современный,английский,язык
часть,речь,современный,русский,язык
диалогический,речь,современный,английский,язык
типологический,описание,современный,германский,язык
национальный,культурный,аспект,оценочный,семантика
фонетика,современный,русский,литературный,язык
развитие,синтаксис,современный,русский,язык
сравнительно,исторический,лексика,дагестанский,язык
грамматика,современный,якутский,литературный,язык
языковой,сознание,носитель,русский,язык
особенность,язык,современный,газетный,публицистика
эмоционально,чувственный,компонент,значение,слово
